Name,Price,Brand,Description,Notes,Image URL
Nocturnal Poetry Parfum,1144,PRIN," Who says a nightmare needs to be a bad experience? In the talented imagination of Prin Lomros, the surreal feeling that accompanies an unsettling dream is sublime inspiration. This sensation is captured to enchanting effect in Nocturnal Poetry, a lush, intoxicating floral with the spicy, animalic complexity that PRIN is known for. A cool, green and thorny bouquet of violet, champaca, and rose sits in a misty fog of incense and myrrh, kissed with sweet, earthy notes of beeswax, hay, and coffee. A dark base of oud, animalics and leather beckons with provocative mystery, but Lomros always keeps Nocturnal Poetry from becoming too unsettling- ultimately, this dreamlike floral is a journey anyone will enjoy taking."," Violet, champaca, rosewood, beeswax, frankincense, myrrh, coffee bean, rose, tobacco, hay, jasmine, leather, castoreum, hyrax, civet, musk, oud, turmeric, cumin",https://static.luckyscent.com/images/products/847008.jpg?width=400&404=product.png
Homa Parfum,1374,PRIN," Sanskrit for a sacred Hindu fire ritual, Homa is a sumptuously complex blend of spices, florals, and animalics to elevate both spirit and consciousness. Using fire as the direct messenger between humans and gods, Homa transmutes these exotic ingredients into something simultaneously rich and earthy, but also transcendent and ethereal, weaving threads of smoke, ash, ozone and incense into the fragrant blend to represent the journey of these sacred offerings into the realm of the spirits. There's more than enough sophistication to satisfy lovers of Prin's deepest, most animalic elixirs- dark oud, earthy mushroom, and (natural, cruelty-free) fossilized hyrax and goat hair lend primal intensity, but Homa is balanced with bright, sparkling airiness that make it wonderfully wearable. For those looking to commune with the heavens, Homa is a sacred ritual safe to perform anytime."," Cinnamon, ginger, black pepper, cardamom, cassia, cumin, turmeric, caraway, nutmeg, clove, saffron, hay, kaffir lime, oud, galbanum, ghee butter, jasmine, champaca, tuberose, beeswax, incense, myrrh, spikenard, costus, benzoin, ash, goat hair tincture, oud, mushroom, civet, hyrax",https://static.luckyscent.com/images/products/847009.jpg?width=400&404=product.png
Koala Extrait de Parfum,1866,Zoologist," A cloak of rich green velvet sweeps across the Australian horizon, the majestic eucalypt forest flattering every curve of the undulating landscape. Tucked high in the crook of a tree, the koala is oblivious to the mesmerizing views. It would rather curl into a ball and sleep off a feast of oily eucalyptus, the aromatic leaves that sustain it. Despite their sleepy demeanour and friendly expression, koalas are territorial creatures. Males mark the soaring trunks with their musk, establishing their dominance.Zoologist Koala opens with an invigorating blend of lemony honey and the sweet aroma of eucalyptus. They float above a blanket of black tea and spices, then draw you even deeper into musky amber and woods. The result is a unique and carefree scent that snuggles in around you, enveloping you in an embrace both playful and independent."," Eucalyptus, menthol honey gumdrops, mimosa, black tea, geranium, incense, spices, vetiver, musk, amber, oakmoss, vanilla, sandalwood",https://static.luckyscent.com/images/products/76028.jpg?width=400&404=product.png
L'Homme A La Rose Eau de Parfum,2650,Maison Francis Kurkdjian," Francis Kurkdjian has a talent for making masculines that balance French sophistication with modern style- classic enough to impress, cool enough to wear anywhere. And while he's already given men a sultry, evening rose with Lumiere Noire, his newest release reinvents the masculine rose as a fresh, bright, all-day sexy stunner. L'Homme A La Rose doesn't lack for floral strength, as it's built around a dynamic pair of two of the world's most renowned roses: deep, sweet Damask roses from Bulgaria, and smooth, fresh Centifolia rose from Grasse. A fruity, zesty grapefruit accord accentuates the floral roundness, while a dynamic ambery wood accord blends with aromatic sage for a contemporary, distinctive signature. A rose that any man will want atop his wardrobe, L'Homme A La Rose is a new standard for masculine florals."," Grapefruit, Damascene rose, amber woods accord, sage, Centifolia rose, labdanum",https://static.luckyscent.com/images/products/49890.jpg?width=400&404=product.png
Rozu Eau de Parfum,2684,Aesop," The beauty of Aesop fragrances lies in their ability to elegantly balance between sophistication and naturalism- an Aesop scent is gorgeously refined, yet possessed with an unmistakable and primal connection to the raw materials from which it was created. So it shouldn't surprise anyone to hear that their foray into rose scents is no delicate young flower, but a lush, gorgeously green wild rose with vibrant shiso accords, woods and spice, and a light touch of sophisticated smoke. The rose note is sumptuously romantic, with enough floral fullness to make any rose lover swoon, but the eastern influence of the aromatics and guaiac wood impart a soulful spirituality that set Rozu apart. A beautiful floral that's every bit an Aesop scent, Rozu is a must try for rose lovers."," Rose, shiso, guaiac",https://static.luckyscent.com/images/products/30156.jpg?width=400&404=product.png
Champs Lunaires Eau de Toilette,1754,Rogue Perfumery," An intangible summer night; Moonlit fields of white flowers.Inspired by Serge Lutens' Tubereuse Crimenelle, and the lusty creamy fruit notes of Piguet's Fracas, Champs Lunaires, was an intense journey for perfumer Manuel Cross, a personal challenge to create a tuberose of satisfying balance -- indolic, green, buttery, creamy, realistic, uplifting."," Tuberose, White Rose Petals, Pomelo, Sandalwood, Coconut Milk, Musk",https://static.luckyscent.com/images/products/838010.jpg?width=400&404=product.png
Prends-Moi Eau de Parfum,1866,Isabey," Take me.It's a bold and forward statement in any era, and in the early 1930's, when Isabey first released Prends-Mois (as it was called then), it was shockingly controversial- and highly coveted. Now, the iconic scent has been relaunched as Prends-Moi, and we're pleased to report the fragrance housed in the emblematic red bottle has every bit of the passionate romanticism that turned heads almost a century before. Prends-Moi opens with a fiery spark of pink pepper, leading to a lush and daring contrast of florals in the heart- a light, innocent rose intertwined with bold, unapologetically carnal tuberose. The powdered elegance of lipstick is balanced against an almost animalic cocoa, representing a seduction both sophisticated and primal. Erotic, romantic, and classic, Prends-Moi is everything French perfume should be."," Bergamot, pink pepper, raspberry, rose, red satin lipstick, tuberose, cardamom, iris, cocoa, sandalwood, amber",https://static.luckyscent.com/images/products/27110.jpg?width=400&404=product.png
Eau de Cuisine Eau de Parfum,1293,Hilde Soliani," We've always known Hilde Soliani makes the most mouthwatering sweet scents out there, but being ""The Queen Of Gourmand"" doesn't begin and end with dessert. Eau de Cuisine, her tribute to longtime friend and renowned modern Italian chef Paolo Lo Priore, is a glorious main course of a fragrance, a spicy, savory, salty feast for the senses. A tribute to Chef Paolo's signature ""cucina convivale"" tasting experience, which emphasizes experimentation and creativity, this scent is a wonderful combination of flavors- the aquatic brine of the ocean, the sweetness of apricot and almond, the creaminess of fresh dairy, and a captivating melange of aromatic herbs and spices. It's a scent both bright and rich, lively and decadent, sure to appeal to lovers of aquatics, orientals, and gourmands alike. In other words, it's as unique as Hilde Soliani herself- not to mention her equally impressive foodie friends.","ocean, apricot, almond, fresh dairy, aromatic herbs, spices",https://static.luckyscent.com/images/products/46643.jpg?width=400&404=product.png
Disobbedienza Eau de Parfum,1335,Hilde Soliani," Disobedience does not have to be a bad thing. In the talented and unrestricted artistic imagination of a perfumer like Hilde Soliani, it represents risk-tasking, freedom, and creative liberation. Inspired by her time performing experimental theater, Disobbedienza is an olfactive tribute to blazing one's own path in the face of stultifying conformity. There are notes chosen for their symbolism- a black, rare rose, both dark and romantic; smoky, mysterious ash to represent the phoenix-like cycle of destruction and rebirth; and, as befitting the Queen of Gourmand, a sweet and spicy opening with the tantalizing fizz of fine champagne. As with many of Hilde's most distinctive and compelling offerings, Disobbedienza rejects easy categorization, and yet it's as wonderfully easy to wear as any of her magical creations. Break away from conformity- lose yourself in the whimsical, bold, and iconoclastic world of Disobbedienza today.","black rose, ash, champagne",https://static.luckyscent.com/images/products/46644.jpg?width=400&404=product.png
Vanille de Tahiti Eau de Parfum,1196,Perris Monte Carlo," Native to Central America, the plant of vanilla belongs to orchid family and grows in the humid tropical forests. The most vibrant of all the varieties is the Tahitensis. This vanilla is not extracted with solvents, but through a more natural and less invasive process, known as CO2 supercritical. This process preserves all the aromatic facets of its profile and ensures an extract of the highest purity. The captivating aroma of this powerful and exotic raw material brings to life the soft texture of the vanilla pod.Vanille de Tahiti is a symphony of warm, exotic and gentle sweet notes. An enveloping vanilla enriched with floral notes of ylang ylang and champaka, while enchanting warm notes of amber mingle with musk and sandalwood."," Absolute of Ylang Ylang, Absolute of Champaca, Vanilla of Tahiti CO2, Amber, Sandalwood, Musk",https://static.luckyscent.com/images/products/702055.jpg?width=400&404=product.png
Gris Charnel Eau de Parfum,2185,BDK Parfums," Quai Saint-Bernard, near the Jardin des Plantes, the first couples arrive at the Tino-Rossi garden. As the night falls, the number of dancers increases and the bleachers fill up. Under the silver moon and the lights of the tourist barges that criss-cross the quay a few meters away, the bodies mingle to the rhythm of the music. It is then that two glances cross paths. A discreet invitation brings them to the center of the track. As if they were carried away, they dance in the heat of the night. From this hand-to-hand seduction punctuated by knowing smiles, they end up slipping away to give free flow to more carnal desires. In the early morning, the sheets give off a scent of sleepless nights, mischievous and lascivious embraces."," Fig, Black tea, Cardamom essence, Absolute of iris, Bourbon, vetiver, Sandalwood from India, Absolute of Tonka bean",https://static.luckyscent.com/images/products/856003.jpg?width=400&404=product.png
Milk Musk Eau de Toilette,2626,Molton Brown," Quiet morning light gently trickles in through glazed sash glass. Billowing freshly pressed sheets on soft skin, nestled into the solacing embrace of milky notes. Comforting, warm cashmere whispers soothingly of silvery white musk as a melody of fluttery piano chords tinkle from the record player. Enjoy the tranquillity in this balance of enlivening pear, soothing musk and sensual vanilla. A unique milk accord imparts nostalgic, intimate warmth creating a space  of profound love in a private haven.Perfect for when you need to ensconce yourself in a calm, cocooning bubble, whether it's curling up with a book or a just allowing yourself a few minutes of meditation. What We Think A fresh, clean, deeply soothing musk that evokes fresh laundry and morning sunshine, enhanced with the perfect touch of mouthwatering, tonka-flecked vanilla- Milk Musk is a skin scent with a euphorically dreamlike smoothness."," pear, peach, musk, ambroxan, vanilla, white cedarwood, tonka bean",https://static.luckyscent.com/images/products/765130.jpg?width=400&404=product.png
Blackberry Woods Eau de Parfum,2218,Shay & Blue," Shay & Blue has a unique gift for playful sophistication- fragrances that can put a smile on your face and make your pulse elevate all at once. With its effortless combination of darkly sensual musky woods and glossy fruit notes, Blackberry Woods may be their most enchanting fusion yet. The delightful complexity is evident right from the start, with a sumptuous, mouthwatering harvest of sunny blackberry just bursting with joy, contrasted against a rich, green, and aromatic floral heart of neroli and lemon leaf. The aromatic sensuality carries into a base of darker, musky cypress wood, creating an alluring cocktail with a decidedly rebellious streak. If Blackberry Woods featured only the delicious blackberry opening, it would still be an instant summer favorite. What a gift, however, that this intoxicating, enchanting gem offers so much more."," Blackberry, neroli, lemon leaves, cypress",https://static.luckyscent.com/images/products/70421.jpg?width=400&404=product.png
Lavande Romaine Eau de Parfum,1379,Perris Monte Carlo,"  At harvest time, evenings are filled with its aromaÖ and the sunset is colored by the newly cut flowers strewn over the fields. The humble alembics installed near the reservoirs glow with red flames into the night.Lavender is so connected to Provence that often farmers don't realize that it was introduced during the Roman invasion which gave this region the designation of ëProvincia Romana' from which its name derives..Lavande Romaine captures the essence of these landscapes and the beauty of the lavender fields where flocks of blue butterfly's float in the air. A joyful fragrance that dances and sings a summer tune."," Lavender fine, Bleu Cedar, Cassis bourgeons, White Musk",https://static.luckyscent.com/images/products/702054.jpg?width=400&404=product.png
Celestial Eau de Parfum,2979,Electimuss," Heavenly, divine and of the gods. Gazing to the stars, the Romans were keen astronomers naming the planets after gods, and such was their belief in the power and influence of the skies over their destiny that they were also keen devotees of astrology.   The olibanum at the heart of this scent is a light, lemony incense with a conifer undertone, lifted by a spicy rose and underpinned by a warm woody base. Luminous, like the heavenly bodies which inspired it."," Saffron, raspberry, black pepper, olibanum, Indian rose absolut, Bulgarian rose, pepper, cedar, Paraguan guaiac wood, tonka",https://static.luckyscent.com/images/products/855010.jpg?width=400&404=product.png
Puritas Eau de Parfum,2835,Electimuss," Inspired by Vesta, the Roman goddess of purity, home and hearth. Her purity of heart and promise of fertility were symbolized in the eternal flames burning in her temples.  Puritas has a graceful floral incense heart, with bright, peppery top notes and a warm spicy base.  Like its inspiration this fragrance has an eternal elegance, simplicity and a lightness of touch."," Elemi, pink pepper, absinthe, olibanum, rose, Indian tuberose absolut, geranium, labdanum, patchouli, tonka and amber",https://static.luckyscent.com/images/products/855011.jpg?width=400&404=product.png
Thurible Eau de Parfum,2430,Rook Perfumes," The best kept secret about incense in perfumery is how magically versatile it is- it can be smoky, of course, but also resinous and animalic, or sparkling and fresh, or opulent and narcotic. Thurible is the rare incense scent that seems to contain it all, a wonderfully complex ode to this beloved material that still coalesces into a beautifully wearable and stylish signature. A sweet, clove-forward spice and herb blend supplements the church-ier aspects of the incense- cool, smoky, and sheer- while warmer, more resinous facets intertwine with rich, earthy labdanum and patchouli. A third chord- clean, sparkling incense with fresh rose and oakmoss- pulls everything together with a timeless twinkle. A must-smell for all incense lovers, Thurible is a comfortably sophisticated incense scent we're head over heels for."," clove, ash, sage, black pepper, labdanum, incense, rose, patchouli, leather, ambergris and moss",https://static.luckyscent.com/images/products/859004.jpg?width=400&404=product.png
Suede Eau de Parfum,1735,Rook Perfumes," Polarizing and provocative, Rook's take on leather is perhaps not as smooth as the name Suede might suggest, but for those who love animalic, realistically raw leather, there's nothing else like it. Smoky, rugged, untanned leather is the star, still recognizably charred and fleshy, harkening back to times where leather was still made by hand. It weaves in a rich tobacco leaf, earthy, sweet, and natural, like the leathermaker was sitting at his tanning bench with a rolled cigarette dangling from his lips. While a delicate undercurrent of smooth suede makes the name more than just playful irony, those who only love the most delicate leather scents may want to look elsewhere. But for those who love raw, animalic, smoky leather, this is a magic potion not to be missed."," suede, tobacco leaf, leather",https://static.luckyscent.com/images/products/859005.jpg?width=400&404=product.png
Amber Eau de Parfum,1602,Rook Perfumes," When we say we love amber scents, we don't just mean the traditional blend of labdanum and vanilla that are so often considered the definitive ""amber"" note in perfume. Which is good, because neither ingredient is anywhere to be found in Rook's new Amber scent. What we really love, however, is the spirit of amber- powerful, sensual, spiritual, and comforting, all at once- and that, this Amber has in multitudes. It opens with a genuinely hypnotic smoke note- sweetened with saffron, but rich and animalic, coaxing out the syrupy amber-maple heart like semi-fossilized resin seeping from ancient bark. A tonka bean base adds a touch of familiar vanillic tone, but stripped of the typically creamy dessert trappings. This amber glows with the intensity of late summer dusk in the wilderness, satisfyingly sweet but also exhilarating and primal. In other words, exactly what you'd hope for from Rook."," saffron, smoke, incense, amber, maple, black musk, tonka bean and resins",https://static.luckyscent.com/images/products/859006.jpg?width=400&404=product.png
Interlude Black Iris Eau de Parfum,1480,Amouage," Inspired by a 1926 close-up painting of an Iris flower by Georgia O'Keeffe, Interlude Black Iris is a deeply seductive and wickedly clever re-imagining of a regal men's classic. Just as with the original Interlude Man, a initially imposing burst of almost majestically powerful frankincense reveals a wondrously harmonious interior life as it develops; but whereas the original Interlude carried the effusive, spice-laden warmth of the baking desert sun, Black Iris is a dispatch from the inky midnight sky, stars illuminating a mouthwatering smorgasbord of rare delights. The intense aromatic oregano and rosemary of the original is toned down here, leaving the opening relatively cool, sparkling, and wet, which in turn unlocks the narcotic smoothness of buttery orris and violet leaf. Richly smoky agarwood and frankincense still carry their royal splendor, but the base leans more towards sandalwood and cedar, creamy and robust. If Interlude Man is a blinding crown of polished jewels, Interlude Black Iris is a flowing, impossibly soft velvet robe- and what king doesn't need both?"," Bergamot, rosemary, violet leaves, orris, amber, frankincense, cistus, myrrh, vanilla, leather, agarwood smoke, patchouli, sandalwood, cedar",https://static.luckyscent.com/images/products/41899.jpg?width=400&404=product.png
Escale En Haiti Eau De Cologne,2146,Les Indemodables," Perhaps the most classic of all scents, the ""L'eau de Cologne"" style stays perpetually in fashion because of its wonderful simplicity. Featuring a lighter concentration that puts its emphasis on freshness and wearability, an EDC can actually be an ideal format to showcase exquisite natural materials in high concentrations that might feel overwhelming as part of a richer, more busy perfume. With Escale En Haiti, Les Indemodables transports us to the bustling and beautiful Les Cayes region of Haiti, and their signature crop- vetiver, considered by many to be the best in all the world. Les Cayes vetiver is renowned for its richness and depth- allowed to mature beneath the soil for up to 2 years before harvesting, it develops uniquely bright, sweet citrus tones in addition to the expected earthy and woody properties. And for Escale En Haiti, Les Indemodables uses a 22% concentration of the absolute finest vetiver Les Cayes has to offer: a ""Grand Cru"" distillation hand-selected from unique terroir, carefully root-harvested, and painstakingly distilled at atmospheric pressure, a slower and more expensive process that provides a richer, longer-lasting extract. The results are a stunning natural vetiver cologne with real depth, each ingredient carefully chosen to highlight an element of the extraordinary main ingredient. Electric pink pepper from Reunion Island and aromatic juniper oil from Macedonia bring a spicy, fresh burst, while rich Venezuelan tonka and Somalian myrrh essential oil add a touch of creamy, powdered elegance to the subtle but long-lasting base. Vetiver lovers looking for both freshness and disctinction- this is one you won't want to miss."," Pink pepper, juniper, Haitian vetiver, tonka bean, myrhh",https://static.luckyscent.com/images/products/827008.jpg?width=400&404=product.png
Escale En Indonesie Eau De Cologne,2565,Les Indemodables," Perhaps the most classic of all scents, the ""L'eau de Cologne"" style stays perpetually in fashion because of its wonderful simplicity. Featuring a lighter concentration that puts its emphasis on freshness and wearability, an EDC can actually be an ideal format to showcase exquisite natural materials in high concentrations that might feel overwhelming as part of a richer, more busy perfume. With Escale En Indonesie, Les Indemodables has chosen to showcase a spectacular specimen of one of the most precious materials in all of perfumery- ambergris. Recovered from the paradise of Sumatra, Indonesia, this top-graded white ambergris was painstakingly distilled into a ""Grand Cru"" tincture, broken down with state-of-the-art ultrasound and then carefully tinctured for over six months to achieve a sublime level of complexity. Every possible facet of this fabled material- vivid ozonic tones, sensual animalics, and electric saltiness- are fully presented, delivering a depth and longevity that are rare for an eau de cologne. And a suite of carefully chosen complementary notes add more EDC freshness- a sunny sparkle of Calabrian bergamot and Sicilian lemon combine with a green, floral freshness from Moroccan neroli oil. Each note teases out even more complexity from the ambergris, which feels as bright and refreshing as the citrus opening but soon gains creamy, seductive tonality from a smooth jasmine and sandalwood base. Don't worry if this sounds a bit heavy for an EDC, as it's delivered with a wonderfully light touch that makes it oh so wearable. But if you've ever wanted a scent that harnessed the true power of ambergris while also maintaining delightful everyday wearability, don't let this hidden gem pass you by."," Bergamot, lemon, neroli, Indonesian ambergris, jasmine, sandalwood",https://static.luckyscent.com/images/products/827009.jpg?width=400&404=product.png
Zeste de Gingembre Eau de Parfum,2998,HEELEY," A mouthwateringly electric cocktail of pure ginger refreshment, Zeste de Gingembre is the best showcase yet of James Heeley's talent for creating sophisticated fresh scents that truly energize and delight. There's nothing over-complicated about the structure here- Zeste opens with, appropriately, an eye-poppingly vivid burst of orange zest, sharp, bright lemon, and crisp, tart lime. The heart of fresh ginger is even more straightforward- a crackling fireball of invigorating, nose-tickling spice with a subtle twist of sweetness that leads into a pink pepper and cardamom base that weaves gourmand, aromatic, clean, and woodsy aspects all together in a lingering and increasingly smooth experience. The best fresh scents from Heeley carry truly unforgettable olfactory signatures- the minty pop of Menthe Fraiche, the salty tang of Sel Marin; the intoxicating burn of Zeste de Gingembre places it firmly in that rarefied company."," Lemon, lime, orange zest, fresh ginger, pink pepper, cardamom",https://static.luckyscent.com/images/products/31528.jpg?width=400&404=product.png
Haute Provence Eau de Parfum,2078,Parle Moi de Parfum," The Provence region of France is known for both bucolic beauty- think rolling fields of purple lavender- and also for the glamorous, sun-drenched good life of Riviera enclaves like Saint-Tropez. With Haute Provence, Parle Moi de Parfum delivers a summer-perfect ode to this slice of paradise, a bright, refreshing, seductively smooth lavender scent that's as head-turningly stylish as it is easy to wear. Provencal Lavender is the undeniable star, sharp yet smooth, with a gently aromatic sophistication that places it in an entirely different tier above ordinary, astringent examples of the note. And it meets the perfect complement with a delightfully juicy cocktail of watermelon and green melon, bursting with the sunshine and ocean zest of the Mediterranean coastline. Narcissus adds a bewitching and wild touch of green that lingers stylishly with wonderful floral depth. Summer in Provence is an unforgettable pleasure, and with Haute Provence, you can bring that pleasure with you, anytime and anywhere."," lavender, melon, watermelon, narcissus",https://static.luckyscent.com/images/products/767015.jpg?width=400&404=product.png
